Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,66006,1927,9,75.7,Y
IDCJAC0001,66006,1927,10,91,Y
IDCJAC0001,66006,1927,11,151.7,Y
IDCJAC0001,66006,1927,12,54.5,Y
IDCJAC0001,66006,1928,1,62.4,Y
IDCJAC0001,66006,1928,2,173.4,Y
IDCJAC0001,66006,1928,3,128.6,Y
IDCJAC0001,66006,1928,4,118.2,Y
IDCJAC0001,66006,1928,5,82.1,Y
IDCJAC0001,66006,1928,6,175.3,Y
IDCJAC0001,66006,1928,7,172.5,Y
IDCJAC0001,66006,1928,8,34.8,Y
IDCJAC0001,66006,1928,9,4.6,Y
IDCJAC0001,66006,1928,10,42.9,Y
IDCJAC0001,66006,1928,11,6.8,Y
IDCJAC0001,66006,1928,12,51.1,Y
IDCJAC0001,66006,1929,1,8.4,Y
IDCJAC0001,66006,1929,2,295.7,Y
IDCJAC0001,66006,1929,3,133.7,Y
IDCJAC0001,66006,1929,4,172,Y
IDCJAC0001,66006,1929,5,253,Y
IDCJAC0001,66006,1929,6,75,Y
IDCJAC0001,66006,1929,7,79,Y
IDCJAC0001,66006,1929,8,103.5,Y
IDCJAC0001,66006,1929,9,41.4,Y
IDCJAC0001,66006,1929,10,211.1,Y
IDCJAC0001,66006,1929,11,95.2,Y
IDCJAC0001,66006,1929,12,48.8,Y
IDCJAC0001,66006,1930,1,114.6,Y
IDCJAC0001,66006,1930,2,15.9,Y
IDCJAC0001,66006,1930,3,109.5,Y
IDCJAC0001,66006,1930,4,164.6,Y
IDCJAC0001,66006,1930,5,121.8,Y
IDCJAC0001,66006,1930,6,326.3,Y
IDCJAC0001,66006,1930,7,108.2,Y
IDCJAC0001,66006,1930,8,31.1,Y
IDCJAC0001,66006,1930,9,5.4,Y
IDCJAC0001,66006,1930,10,49.1,Y
IDCJAC0001,66006,1930,11,22.5,Y
IDCJAC0001,66006,1930,12,133.4,Y
IDCJAC0001,66006,1931,1,55.9,Y
IDCJAC0001,66006,1931,2,39.4,Y
IDCJAC0001,66006,1931,3,182.2,Y
IDCJAC0001,66006,1931,4,189.8,Y
IDCJAC0001,66006,1931,5,91.4,Y
IDCJAC0001,66006,1931,6,32.2,Y
IDCJAC0001,66006,1931,7,315.8,Y
IDCJAC0001,66006,1931,8,4.8,Y
IDCJAC0001,66006,1931,9,145.8,Y
IDCJAC0001,66006,1931,10,24.7,Y
IDCJAC0001,66006,1931,11,81.8,Y
IDCJAC0001,66006,1931,12,93.4,Y
IDCJAC0001,66006,1932,1,5.1,Y
IDCJAC0001,66006,1932,2,119.3,Y
IDCJAC0001,66006,1932,3,78.4,Y
IDCJAC0001,66006,1932,4,97.1,Y
IDCJAC0001,66006,1932,5,54.5,Y
IDCJAC0001,66006,1932,6,30.1,Y
IDCJAC0001,66006,1932,7,80.2,Y
IDCJAC0001,66006,1932,8,55.4,Y
IDCJAC0001,66006,1932,9,228.7,Y
IDCJAC0001,66006,1932,10,23.5,Y
IDCJAC0001,66006,1932,11,95.1,Y
IDCJAC0001,66006,1932,12,106.7,Y
IDCJAC0001,66006,1933,1,189.1,Y
IDCJAC0001,66006,1933,2,10,Y
